



























































SERIAL PORT INITIALIZED
TEMPERATURE SENSORS INITIALIZED
RELAY PINS INITIALIZED
BOOT COMPLETE

DEV0: 27.44
DEV1: 32.56
DEV0: 32.94
DEV1: 32.63
DEV0: 34.69
DEV1: 32.56
DEV0: 32.88
DEV1: 32.56
DEV0: 32.56
DEV1: -127.00
DEV0: 32.56
DEV1: -127.00
DEV0: 32.56
DEV1: -127.00
DEV0: 32.56
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.56
DEV1: -127.00
DEV0: 32.56
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.56
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.63
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.81
DEV1: -127.00
DEV0: 32.88
DEV1: -127.00
DEV0: 33.00
DEV1: -127.00
DEV0: 33.19
DEV1: -127.00
DEV0: 33.19
DEV1: -127.00
DEV0: 33.13
DEV1: -127.00
DEV0: 33.13
DEV1: -127.00
DEV0: 33.13
DEV1: -127.00
DEV0: 33.06
DEV1: -127.00
DEV0: 33.06
DEV1: -127.00
DEV0: 33.06
DEV1: -127.00
DEV0: 33.06
DEV1: -127.00
DEV0: 33.13
DEV1: -127.00
DEV0: 33.25
DEV1: -127.00
DEV0: 33.56
DEV1: -127.00
DEV0: 33.44
DEV1: -127.00
DEV0: 33.38
DEV1: -127.00
DEV0: 33.31
DEV1: -127.00
DEV0: 33.38
DEV1: -127.00
DEV0: 33.38
DEV1: -127.00
DEV0: 33.44
DEV1: -127.00
DEV0: 33.44
DEV1: -127.00
DEV0: 33.50
DEV1: -127.00
DEV0: 33.50
DEV1: -127.00
DEV0: 33.56
DEV1: -127.00
DEV0: 33.56
DEV1: -127.00
DEV0: 33.63
DEV1: -127.00
DEV0: 33.63
DEV1: -127.00
DEV0: 33.63
DEV1: -127.00
DEV0: 33.63
DEV1: -127.00
DEV0: 33.63
DEV1: -127.00
DEV0: 33.69
DEV1: -127.00
DEV0: 33.69
DEV1: -127.00
DEV0: 33.69
DEV1: -127.00
DEV0: 33.69
DEV1: -127.00
DEV0: 33.63
DEV1: -127.00
DEV0: 33.56
DEV1: -127.00
DEV0: 33.56
DEV1: -127.00
DEV0: 33.56
DEV1: -127.00
DEV0: 33.56
DEV1: -127.00
DEV0: 33.50
DEV1: -127.00
DEV0: 33.50
DEV1: -127.00
DEV0: 33.50
DEV1: -127.00
DEV0: 33.50
DEV1: -127.00
DEV0: 33.44
DEV1: -127.00
DEV0: 33.25
DEV1: -127.00
DEV0: 33.13
DEV1: -127.00
DEV0: 33.06
DEV1: -127.00
DEV0: 33.06
DEV1: -127.00
DEV0: 33.00
DEV1: -127.00
DEV0: 33.00
DEV1: -127.00
DEV0: 32.94
DEV1: -127.00
DEV0: 32.88
DEV1: -127.00
DEV0: 32.81
DEV1: -127.00
DEV0: 32.88
DEV1: -127.00
DEV0: 32.81
DEV1: -127.00
DEV0: 32.75
DEV1: -127.00
DEV0: 32.69
DEV1: -127.00
DEV0: 32.50
DEV1: -127.00
DEV0: 32.25
DEV1: -127.00
DEV0: 32.06
DEV1: -127.00
DEV0: 32.00
DEV1: -127.00
DEV0: 31.94
DEV1: -127.00
DEV0: 31.87
DEV1: -127.00
DEV0: 31.87
DEV1: -127.00
DEV0: 31.81
DEV1: -127.00
DEV0: 31.81
DEV1: -127.00
DEV0: 31.75
DEV1: -127.00
